YTID,start_seconds,end_seconds,positive_labels,label_description
--cB2ZVjpnA,30.0,40.0,/m/01y3hg,smoke_alarm
-0mjrMposBM,80.0,90.0,/m/04zmvq,train_whistle
-2hQKCE-oTI,30.0,40.0,/m/07pbtc8,footsteps
-9ek6eO0RtI,260.0,270.0,/m/03wwcy,doorbell
-A0MTi2NMGI,30.0,40.0,/t/dd00134,car_passing_by
-ASYwidRD7M,30.0,40.0,/m/01d3sd,snoring
-DBcp6YGi6k,30.0,40.0,/t/dd00018,pig
-Dl-VzBPd9E,270.0,280.0,/m/028ght,applause
-FEPOSP7ay0,260.0,270.0,/m/0395lw,bell
-FT5MbWPCzg,540.0,550.0,/m/03w41f,bell
-GI5PbO6j50,30.0,40.0,/m/03qc9zr,screaming
-HvtS74RG8w,240.0,250.0,/m/03l9g,hammer
-IWlQN6cfe4,30.0,40.0,/m/07pbtc8,footsteps
-JfXNXGi-l8,70.0,80.0,/m/03wvsk,hair_dryer
-NwuLeOWpLk,420.0,430.0,/m/01lsmm,scissors
-ODqYMQFwsY,30.0,40.0,/t/dd00134,car_passing_by
-QSNQGKiGT4,260.0,270.0,/m/03qc9zr,screaming
-TJe1_ECCwM,6.0,16.0,/m/07pws3f,shotgun
-UbFLKplzbE,30.0,40.0,/m/01j4z9,chainsaw
-UcfsxiD_ns,340.0,350.0,/m/0llzx,sewing_machine
-VI2IRq17rs,360.0,370.0,/m/0395lw,bell
-Ypg2o4TqXM,30.0,40.0,/m/07r4wb8,knock
-Ze_xQhxKRo,30.0,40.0,/m/0j2kx,waterfall
-b_10b-orX4,50.0,60.0,/m/02_41,fire
-jMyzNbR7WM,10.0,20.0,/t/dd00134,car_passing_by
-reNxUHvEl0,7.0,17.0,/m/07r67yg,doorbell
-xyxF0ahpKk,0.0,4.0,/t/dd00134,car_passing_by
-z_3aZqUmbw,120.0,130.0,/m/0d31p,vacuum_cleaner
-zpL4Ut1clE,30.0,40.0,/m/016622,bell
0-FH0xbm4gQ,580.0,590.0,/m/02z32qm,shotgun
